Lorenz X,Lorenz Y,Lorenz Z,Rossler X,Rossler Y,Rossler Z,Duffing,Logistic
1,1,1,1,1,1,0.5,0.1
1.048866273,1.523931625,0.973111758,0.98,1.01,0.969,0.5,0.36
1.186917938,2.088447277,0.961734059,0.96,1.03,0.94,0.5,0.9216
1.40961025,2.73843924,0.972605548,0.941,1.04,0.911,0.501,0.28901376
1.721166553,3.517449652,1.017185084,0.921,1.05,0.883,0.502,0.821939226
2.133101851,4.471269239,1.113898552,0.902,1.07,0.856,0.502,0.585420539
2.663546914,5.650261198,1.291892991,0.883,1.08,0.829,0.503,0.970813326
3.336977424,7.110101388,1.596839633,0.864,1.09,0.804,0.505,0.113339247
4.183899896,8.90983693,2.099490212,0.845,1.1,0.779,0.506,0.401973849
5.239818002,11.10488812,2.907523369,0.826,1.12,0.755,0.508,0.961563495
6.542320184,13.73063296,4.180117403,0.808,1.13,0.731,0.51,0.14783656
8.124313969,16.7696966,6.141309723,0.789,1.14,0.709,0.512,0.503923646
10.00037463,20.09480889,9.08024942,0.771,1.15,0.687,0.514,0.99993842
12.14262746,23.38520474,13.31195071,0.752,1.16,0.666,0.516,0.000246305
14.44493336,26.04133245,19.05625696,0.734,1.18,0.645,0.519,0.000984976
16.68404937,27.18294199,26.2041492,0.716,1.19,0.625,0.522,0.003936025
18.50690024,25.8778553,34.0396851,0.698,1.2,0.606,0.524,0.015682131
19.49079924,21.66975774,41.18308454,0.68,1.21,0.587,0.528,0.061744808
19.29694326,15.11348513,46.07219067,0.662,1.22,0.569,0.531,0.231729548
17.84504703,7.715369703,47.83136073,0.644,1.23,0.551,0.534,0.712123859
15.37025984,1.125227784,46.75900844,0.626,1.24,0.534,0.538,0.820013873
12.30738168,-3.69959376,43.95744738,0.608,1.25,0.518,0.542,0.590364483
9.10248671,-6.666714408,40.57875764,0.591,1.26,0.502,0.546,0.967337041
6.083708263,-8.188535023,37.37035522,0.573,1.27,0.487,0.55,0.126384362
3.430492123,-8.782035445,34.647979,0.555,1.28,0.472,0.554,0.44164542
1.203711535,-8.864627279,32.45719349,0.538,1.29,0.457,0.558,0.986378972
-0.609200693,-8.71275108,30.7271305,0.52,1.3,0.443,0.563,0.053741982
-2.057427102,-8.489148084,29.3598899,0.503,1.31,0.43,0.567,0.203415127
-3.20316862,-8.281501685,28.26852966,0.485,1.32,0.417,0.572,0.648149653
-4.108668949,-8.132607637,27.38751916,0.468,1.33,0.405,0.577,0.912206721
-4.830035096,-8.059805252,26.67176918,0.451,1.34,0.392,0.582,0.320342475
-5.414903301,-8.066408371,26.0922519,0.433,1.35,0.381,0.588,0.870892695
-5.90208969,-8.148099304,25.63145036,0.416,1.36,0.369,0.593,0.449754435
-6.322161508,-8.296366105,25.27963016,0.399,1.37,0.359,0.598,0.989901533
-6.698355124,-8.50025221,25.03202632,0.381,1.38,0.348,0.604,0.039985953
-7.047547549,-8.747159561,24.88674645,0.364,1.39,0.338,0.61,0.153548306
-7.381144872,-9.023147329,24.84314619,0.347,1.4,0.328,0.615,0.519884895
-7.705839701,-9.31301193,24.90047455,0.33,1.41,0.319,0.621,0.998418364
-8.024241937,-9.600355411,25.0566572,0.312,1.41,0.31,0.627,0.006316538
-8.335419692,-9.867806847,25.30716223,0.295,1.42,0.301,0.633,0.025106558
-8.63540716,-10.09752714,25.6439722,0.278,1.43,0.292,0.64,0.097904876
-8.917745546,-10.27208124,26.05476074,0.261,1.44,0.284,0.646,0.353278046
-9.174120102,-10.37568969,26.52243289,0.244,1.45,0.276,0.652,0.913890673
-9.395137901,-10.3957697,27.02521352,0.226,1.45,0.269,0.659,0.314778042
-9.571255677,-10.32455869,27.53743819,0.209,1.46,0.261,0.665,0.862771306
-9.693817699,-10.16051102,28.03109875,0.192,1.47,0.254,0.672,0.47358792
-9.756109781,-9.909118238,28.47803225,0.175,1.47,0.247,0.678,0.997209608
-9.754293121,-9.582863236,28.85245612,0.157,1.48,0.241,0.685,0.011130423
-9.688068257,-9.200187772,29.1334135,0.14,1.49,0.234,0.692,0.044026146
-9.560946535,-8.783591127,29.30666423,0.123,1.5,0.228,0.698,0.168351377
-9.380072097,-8.357203774,29.36567003,0.106,1.5,0.222,0.705,0.560036763
-9.155624066,-7.944308315,29.31154289,0.0886,1.51,0.217,0.712,0.985582348
-8.899909412,-7.565262991,29.15207641,0.0713,1.51,0.211,0.719,0.056839132
-8.626307362,-7.236136721,28.9001681,0.054,1.52,0.206,0.725,0.214433781
-8.348233725,-6.968155185,28.57201458,0.0368,1.53,0.201,0.732,0.673807739
-8.07826226,-6.767864375,28.18541891,0.0195,1.53,0.196,0.739,0.87916348
-7.827485662,-6.637796073,27.75843375,0.0022,1.54,0.191,0.746,0.424940223
-7.605140112,-6.577383335,27.30843108,-0.0151,1.54,0.187,0.753,0.97746412
-7.418469421,-6.583904704,26.85158136,-0.0324,1.55,0.183,0.759,0.088112058
-7.272774865,-6.65330123,26.40266037,-0.0497,1.55,0.178,0.766,0.321393293
-7.171584997,-6.78078095,25.97507847,-0.067,1.56,0.174,0.773,0.872398577
-7.116881855,-6.961183254,25.58103127,-0.0844,1.56,0.17,0.779,0.445277201
-7.10933042,-7.189114413,25.23168752,-0.102,1.57,0.167,0.786,0.988021661
-7.148472093,-7.458887046,24.93734983,-0.119,1.57,0.163,0.792,0.047339434
-7.232857084,-7.764306352,24.70753896,-0.136,1.58,0.16,0.799,0.180393648
-7.360103416,-8.098350678,24.55096308,-0.154,1.58,0.156,0.805,0.59140712
-7.526881481,-8.452798798,24.47533991,-0.171,1.59,0.153,0.812,0.966578954
-7.728833528,-8.817864597,24.4870466,-0.189,1.59,0.15,0.818,0.129216319
-7.960447877,-9.181912696,24.59058341,-0.206,1.59,0.147,0.824,0.450077848
-8.214918839,-9.531343984,24.7878582,-0.223,1.6,0.144,0.83,0.990031115
-8.484035109,-9.850752271,25.07733406,-0.241,1.6,0.141,0.836,0.039478026
-8.758150198,-10.12345253,25.45313251,-0.258,1.6,0.139,0.842,0.151678047
-9.026294967,-10.33245463,25.90424563,-0.276,1.61,0.136,0.848,0.514687267
-9.276489468,-10.46189222,26.41406659,-0.293,1.61,0.134,0.853,0.999137137
-9.496293318,-10.49881065,26.96047551,-0.311,1.61,0.131,0.859,0.003448475
-9.673597042,-10.43508485,27.51668533,-0.328,1.62,0.129,0.864,0.013746332
-9.79760274,-10.26911453,28.05293841,-0.345,1.62,0.127,0.869,0.054229482
-9.859881009,-10.0068859,28.53895365,-0.363,1.62,0.125,0.874,0.205154581
-9.85534059,-9.662048029,28.94679994,-0.38,1.62,0.123,0.879,0.652264717
-9.782929209,-9.254843667,29.25369634,-0.398,1.62,0.121,0.884,0.907261824
-9.645913651,-8.810016368,29.44419388,-0.415,1.63,0.119,0.888,0.336551226
-9.451663332,-8.354089051,29.51131916,-0.433,1.63,0.117,0.893,0.893137993
-9.210964179,-7.912568202,29.45652076,-0.45,1.63,0.115,0.897,0.381770075
-8.936986368,-7.507610706,29.28855797,-0.468,1.63,0.114,0.901,0.944086739
-8.644089835,-7.156515298,29.02169711,-0.485,1.63,0.112,0.905,0.211147872
-8.346660664,-6.871149756,28.67366502,-0.502,1.63,0.111,0.908,0.666257793
-8.058134238,-6.658196068,28.26375414,-0.52,1.63,0.109,0.912,0.889433386
-7.790296701,-6.519955368,27.81133169,-0.537,1.63,0.108,0.915,0.393366553
-7.552888021,-6.455417599,27.3348473,-0.555,1.63,0.106,0.918,0.954517232
